start_epoch	end_epoch	start_iso	end_iso	label
1784992096	1784993616	2026-07-25T15:08:16Z	2026-07-25T15:33:36Z	planning — spec, step plan, test plan, tracker — steps 0 and 1 shipped; cold gate green
1784997668	1784998239	2026-07-25T16:41:08Z	2026-07-25T16:50:39Z	steps 2-4 — create, update, delete — step 2 — POST + auto PENDING; 23 e2e, 14 unit green
1784998245	1784998899	2026-07-25T16:50:45Z	2026-07-25T17:01:39Z	step 3 — PATCH + transitions — step 3 — PATCH + state machine; 38 e2e, 31 unit green
1784998907	1785000237	2026-07-25T17:01:47Z	2026-07-25T17:23:57Z	step 4 — DELETE + cascade + history — step 4 — DELETE + cascade + history; T3 cold gate green
1785005318	1785006018	2026-07-25T18:48:38Z	2026-07-25T19:00:18Z	CANCELLED state — CANCELLED state — 57 e2e, 43 unit green
1785008222	1785009730	2026-07-25T19:37:02Z	2026-07-25T20:02:10Z	review fixes + db port — step 5 — job list UI; 67 e2e, 43 unit green
1785009737	1785010272	2026-07-25T20:02:17Z	2026-07-25T20:11:12Z	step 6 — create form — step 6 — create form; 77 e2e green
1785010280	1785012654	2026-07-25T20:11:20Z	2026-07-25T20:50:54Z	step 7 — status update — step 7 — status update; T3 green, 87 e2e + 43 unit
1785013920	1785015420	2026-07-25T21:12:00Z	2026-07-25T21:37:00Z	step 7.5 — review fixes — tz on timestamps, multi-select filter, counts deferred to README; 96 e2e + 43 unit green (start reconstructed: timelog start hit a tool error)
1785021673	1785022458	2026-07-25T23:21:13Z	2026-07-25T23:34:18Z	step 8 — delete UI + client.ts fault cases — step 8 — delete UI + E9/E10; 116 e2e green, no flakes
1785022465	1785023454	2026-07-25T23:34:25Z	2026-07-25T23:50:54Z	step 9 — scale: pagination at 250k — step 9 — pagination at 250k; 125 e2e green, latency measured
1785023461	1785024043	2026-07-25T23:51:01Z	2026-07-26T00:00:43Z	step 10 — fault-injection pass — step 10 — fault-injection pass; 135 e2e green
1785024560	1785025440	2026-07-26T00:09:20Z	2026-07-26T00:24:00Z	step 10.5 — code review fixes — 8 findings incl. F8 deleting other specs' rows and D5 not testing its own rollback; sorting/counts writeups; 137 e2e green (start reconstructed)
1785078742	1785079841	2026-07-26T15:12:22Z	2026-07-26T15:30:41Z	step 10.6 — dialog copy, CANCELED spelling, slice→step — step 9.5 — search: pg_trgm + GIN index, debounced; 144 e2e green
